Well,Fluid,Date,Rate
HOMOL-1,Qo,01/01/2007,216.3
HOMOL-102,Qo,01/01/2007,0
HOMOL-21,Qo,01/01/2007,0
HOMOL-3,Qo,01/01/2007,0
HOMOL-4,Qo,01/01/2007,0
HOMOL-41,Qo,01/01/2007,0
HOMOL-45,Qo,01/01/2007,0
HOMOL-47,Qo,01/01/2007,0
HOMOL-49,Qo,01/01/2007,0
HOMOL-61DES,Qo,01/01/2007,0
HOMOL-62,Qo,01/01/2007,0
HOMOL-63,Qo,01/01/2007,0
HOMOL-1,Qg,01/01/2007,0
HOMOL-102,Qg,01/01/2007,0
HOMOL-21,Qg,01/01/2007,0
HOMOL-3,Qg,01/01/2007,0
HOMOL-4,Qg,01/01/2007,0
HOMOL-41,Qg,01/01/2007,0
HOMOL-45,Qg,01/01/2007,0
HOMOL-47,Qg,01/01/2007,0
HOMOL-49,Qg,01/01/2007,0
HOMOL-61DES,Qg,01/01/2007,0
HOMOL-62,Qg,01/01/2007,0
HOMOL-63,Qg,01/01/2007,0
HOMOL-1,Qw,01/01/2007,0
HOMOL-102,Qw,01/01/2007,0
HOMOL-21,Qw,01/01/2007,0
HOMOL-3,Qw,01/01/2007,0
HOMOL-4,Qw,01/01/2007,0
HOMOL-41,Qw,01/01/2007,0
HOMOL-45,Qw,01/01/2007,0
HOMOL-47,Qw,01/01/2007,0
HOMOL-49,Qw,01/01/2007,0
HOMOL-61DES,Qw,01/01/2007,0
HOMOL-62,Qw,01/01/2007,0
HOMOL-63,Qw,01/01/2007,0
HOMOL-1,Qo,01/02/2007,201.5
HOMOL-102,Qo,01/02/2007,0
HOMOL-21,Qo,01/02/2007,0
HOMOL-3,Qo,01/02/2007,0
HOMOL-4,Qo,01/02/2007,0
HOMOL-41,Qo,01/02/2007,0
HOMOL-45,Qo,01/02/2007,0
HOMOL-47,Qo,01/02/2007,0
HOMOL-49,Qo,01/02/2007,0
HOMOL-61DES,Qo,01/02/2007,0
HOMOL-62,Qo,01/02/2007,0
HOMOL-63,Qo,01/02/2007,0
HOMOL-1,Qg,01/02/2007,0
HOMOL-102,Qg,01/02/2007,0
HOMOL-21,Qg,01/02/2007,0
HOMOL-3,Qg,01/02/2007,0
HOMOL-4,Qg,01/02/2007,0
HOMOL-41,Qg,01/02/2007,0
HOMOL-45,Qg,01/02/2007,0
HOMOL-47,Qg,01/02/2007,0
HOMOL-49,Qg,01/02/2007,0
HOMOL-61DES,Qg,01/02/2007,0
HOMOL-62,Qg,01/02/2007,0
HOMOL-63,Qg,01/02/2007,0
HOMOL-1,Qw,01/02/2007,0
HOMOL-102,Qw,01/02/2007,0
HOMOL-21,Qw,01/02/2007,0
HOMOL-3,Qw,01/02/2007,0
HOMOL-4,Qw,01/02/2007,0
HOMOL-41,Qw,01/02/2007,0
HOMOL-45,Qw,01/02/2007,0
HOMOL-47,Qw,01/02/2007,0
HOMOL-49,Qw,01/02/2007,0
HOMOL-61DES,Qw,01/02/2007,0
HOMOL-62,Qw,01/02/2007,0
HOMOL-63,Qw,01/02/2007,0
HOMOL-1,Qo,01/03/2007,224
HOMOL-102,Qo,01/03/2007,0
HOMOL-21,Qo,01/03/2007,0
HOMOL-3,Qo,01/03/2007,0
HOMOL-4,Qo,01/03/2007,0
HOMOL-41,Qo,01/03/2007,0
HOMOL-45,Qo,01/03/2007,0
HOMOL-47,Qo,01/03/2007,0
HOMOL-49,Qo,01/03/2007,0
HOMOL-61DES,Qo,01/03/2007,0
HOMOL-62,Qo,01/03/2007,0
HOMOL-63,Qo,01/03/2007,0
HOMOL-1,Qg,01/03/2007,0
HOMOL-102,Qg,01/03/2007,0
HOMOL-21,Qg,01/03/2007,0
HOMOL-3,Qg,01/03/2007,0
HOMOL-4,Qg,01/03/2007,0
HOMOL-41,Qg,01/03/2007,0
HOMOL-45,Qg,01/03/2007,0
HOMOL-47,Qg,01/03/2007,0
HOMOL-49,Qg,01/03/2007,0
HOMOL-61DES,Qg,01/03/2007,0
HOMOL-62,Qg,01/03/2007,0
HOMOL-63,Qg,01/03/2007,0
HOMOL-1,Qw,01/03/2007,0
HOMOL-102,Qw,01/03/2007,0
HOMOL-21,Qw,01/03/2007,0
HOMOL-3,Qw,01/03/2007,0
HOMOL-4,Qw,01/03/2007,0
HOMOL-41,Qw,01/03/2007,0
HOMOL-45,Qw,01/03/2007,0
HOMOL-47,Qw,01/03/2007,0
HOMOL-49,Qw,01/03/2007,0
HOMOL-61DES,Qw,01/03/2007,0
HOMOL-62,Qw,01/03/2007,0
HOMOL-63,Qw,01/03/2007,0
HOMOL-1,Qo,01/04/2007,1298.5
HOMOL-102,Qo,01/04/2007,0
HOMOL-21,Qo,01/04/2007,0
HOMOL-3,Qo,01/04/2007,0
HOMOL-4,Qo,01/04/2007,0
HOMOL-41,Qo,01/04/2007,0
HOMOL-45,Qo,01/04/2007,0
HOMOL-47,Qo,01/04/2007,0
HOMOL-49,Qo,01/04/2007,0
HOMOL-61DES,Qo,01/04/2007,0
HOMOL-62,Qo,01/04/2007,0
HOMOL-63,Qo,01/04/2007,0
HOMOL-1,Qg,01/04/2007,1379.2
HOMOL-102,Qg,01/04/2007,0
HOMOL-21,Qg,01/04/2007,0
HOMOL-3,Qg,01/04/2007,0
HOMOL-4,Qg,01/04/2007,0
HOMOL-41,Qg,01/04/2007,0
HOMOL-45,Qg,01/04/2007,0
HOMOL-47,Qg,01/04/2007,0
HOMOL-49,Qg,01/04/2007,0
HOMOL-61DES,Qg,01/04/2007,0
HOMOL-62,Qg,01/04/2007,0
HOMOL-63,Qg,01/04/2007,0
HOMOL-1,Qw,01/04/2007,0
HOMOL-102,Qw,01/04/2007,0
HOMOL-21,Qw,01/04/2007,0
HOMOL-3,Qw,01/04/2007,0
HOMOL-4,Qw,01/04/2007,0
HOMOL-41,Qw,01/04/2007,0
HOMOL-45,Qw,01/04/2007,0
HOMOL-47,Qw,01/04/2007,0
